state,votes,abbr
Alabama,9,AL
Alaska,3,AK
Arizona,11,AZ
Arkansas,6,AR
California,55,CA
Colorado,9,CO
Connecticut,7,CT
Delaware,3,DE
Florida,29,FL
Georgia,16,GA
Hawaii,4,HI
Idaho,4,ID
Illinois,20,IL
Indiana,11,IN
Iowa,6,IA
Kansas,6,KS
Kentucky,8,KY
Louisiana,8,LA
Maine,4,ME
Maryland,10,MD
Massachusetts,11,MA
Michigan,16,MI
Minnesota,10,MN
Mississippi,6,MS
Missouri,10,MO
Montana,3,MT
Nebraska,5,NE
Nevada,6,NV
New-Hampshire,4,NH
New-Jersey,14,NJ
New-Mexico,5,NM
New-York,29,NY
North-Carolina,15,NC
North-Dakota,3,ND
Ohio,18,OH
Oklahoma,7,OK
Oregon,7,OR
Pennsylvania,20,PA
Rhode-Island,4,RI
South-Carolina,9,SC
South-Dakota,3,SD
Tennessee,11,TN
Texas,38,TX
Utah,6,UT
Vermont,3,VT
Virginia,13,VA
Washington,12,WA
Washington-DC,3,DC
West-Virginia,5,WV
Wisconsin,10,WI
Wyoming,3,WY
